2024-08-01T00:00:00.097000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000378341
2024-10-01T17:00:00.064000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005872449
2024-10-01T18:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003202903
2024-10-01T19:00:00.149000+00:00 → rate: 0.00003231, annualized: 28.2995%, premium: 0.0007584429
2024-10-01T20:00:00.033000+00:00 → rate: 0.00001605, annualized: 14.0587%, premium: 0.0006283896
2024-10-01T21:00:00.145000+00:00 → rate: 0.00002334, annualized: 20.4456%, premium: 0.0006867176
2024-10-01T22:00:00.109000+00:00 → rate: 0.00003179, annualized: 27.8475%, premium: 0.000754315
2024-10-01T23:00:00.017000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000772692
2024-10-02T00:00:00.146000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000574741
2024-10-02T01:00:00.020000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001872901
2024-10-02T02:00:00.178000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000265524
2024-10-02T03:00:00.045000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003775588
2024-10-02T04:00:00.076000+00:00 → rate: 0.00001712, annualized: 14.9934%, premium: 0.0006369258
2024-10-02T05:00:00.040000+00:00 → rate: 0.00002025, annualized: 17.7395%, premium: 0.0006620046
2024-10-02T06:00:00.040000+00:00 → rate: 0.00001666, annualized: 14.5946%, premium: 0.0006332837
2024-10-02T07:00:00.026000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005551722
2024-10-02T08:00:00.066000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005114421
2024-10-02T09:00:00.100000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004812517
2024-10-02T10:00:00.108000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005918656
2024-10-02T11:00:00.085000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005836287
2024-10-02T12:00:00.067000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004722687
2024-10-02T13:00:00.111000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003999602
2024-10-02T14:00:00.115000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0005405367
2024-10-02T15:00:00.150000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000436633
2024-10-02T16:00:00.072000+00:00 → rate: 0.00001759, annualized: 15.4108%, premium: 0.0006407377
2024-10-02T17:00:00.015000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004306798
2024-10-02T18:00:00.104000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002979032
2024-10-02T19:00:00.104000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001804725
2024-10-02T20:00:00.096000+00:00 → rate: -0.00000008, annualized: -0.0714%, premium: -0.000500652
2024-10-02T21:00:00.033000+00:00 → rate: -0.00000320, annualized: -2.8034%, premium: -0.0005256012
2024-10-02T22:00:00.127000+00:00 → rate: -0.00000042, annualized: -0.3699%, premium: -0.0005033785
2024-10-02T23:00:00.007000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003091174
2024-10-03T00:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001005456
2024-10-03T01:00:00.018000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001983018
2024-10-03T02:00:00.001000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000121297
2024-10-03T03:00:00.047000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000382191
2024-10-03T04:00:00.023000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000201167
2024-10-03T05:00:00.072000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000487336
2024-10-03T06:00:00.077000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000391563
2024-10-03T07:00:00.029000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000562049
2024-10-03T08:00:00.108000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000558043
2024-10-03T09:00:00.139000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002765796
2024-10-03T10:00:00.034000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002739094
2024-10-03T11:00:00.023000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002729038
2024-10-03T12:00:00.080000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002559205
2024-10-03T13:00:00.011000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003312545
2024-10-03T14:00:00.073000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003940237
2024-10-03T15:00:00.019000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000256897
2024-10-03T16:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003421154
2024-10-03T17:00:00.080000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003781733
2024-10-03T18:00:00.119000+00:00 → rate: 0.00000961, annualized: 8.4190%, premium: -0.0004231146
2024-10-03T19:00:00.072000+00:00 → rate: 0.00001145, annualized: 10.0334%, premium: -0.0004083701
2024-10-03T20:00:00.117000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003456125
2024-10-03T21:00:00.007000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002997201
2024-10-03T22:00:00.017000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002770233
2024-10-03T23:00:00.041000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003206443
2024-10-04T00:00:00.022000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003002923
2024-10-04T01:00:00+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002545685
2024-10-04T02:00:00.149000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003034987
2024-10-04T03:00:00.154000+00:00 → rate: 0.00000065, annualized: 0.5726%, premium: -0.0004947715
2024-10-04T04:00:00.016000+00:00 → rate: -0.00000728, annualized: -6.3810%, premium: -0.0005582746
2024-10-04T05:00:00.112000+00:00 → rate: -0.00000492, annualized: -4.3092%, premium: -0.0005393535
2024-10-04T06:00:00.159000+00:00 → rate: -0.00000082, annualized: -0.7213%, premium: -0.0005065874
2024-10-04T07:00:00.037000+00:00 → rate: -0.00000224, annualized: -1.9657%, premium: -0.0005179516
2024-10-04T08:00:00.174000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003009301
2024-10-04T09:00:00.126000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002461027
2024-10-04T10:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002617806
2024-10-04T11:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003261847
2024-10-04T12:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003061935
2024-10-04T13:00:00.042000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002843141
2024-10-04T14:00:00.139000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003039639
2024-10-04T15:00:00.060000+00:00 → rate: 0.00000647, annualized: 5.6698%, premium: -0.0004482211
2024-10-04T16:00:00.114000+00:00 → rate: 0.00000881, annualized: 7.7169%, premium: -0.0004295263
2024-10-04T17:00:00.119000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002141596
2024-10-04T18:00:00.128000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001911625
2024-10-04T19:00:00.041000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000068067
2024-10-04T20:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001219708
2024-10-04T21:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002987289
2024-10-04T22:00:00.029000+00:00 → rate: 0.00000412, annualized: 3.6068%, premium: -0.0004670607
2024-10-04T23:00:00.001000+00:00 → rate: -0.00001117, annualized: -9.7813%, premium: -0.0005893275
2024-10-05T00:00:00.132000+00:00 → rate: -0.00000781, annualized: -6.8377%, premium: -0.0005624448
2024-10-05T01:00:00.147000+00:00 → rate: 0.00000465, annualized: 4.0724%, premium: -0.0004628085
2024-10-05T02:00:00.089000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001914965
2024-10-05T03:00:00+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002107466
2024-10-05T04:00:00.065000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002566183
2024-10-05T05:00:00.114000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002640615
2024-10-05T06:00:00.095000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002958342
2024-10-05T07:00:00.102000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002280499
2024-10-05T08:00:00.099000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002709143
2024-10-05T09:00:00.026000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003547279
2024-10-05T10:00:00.007000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003603069
2024-10-05T11:00:00.073000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003886739
2024-10-05T12:00:00.029000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003680306
2024-10-05T13:00:00.088000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003695844
2024-10-05T14:00:00.016000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.00034228
2024-10-05T15:00:00.116000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003030494
2024-10-05T16:00:00.037000+00:00 → rate: 0.00000926, annualized: 8.1098%, premium: -0.0004259379
2024-10-05T17:00:00.128000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003918397
2024-10-05T18:00:00.094000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003840189
2024-10-05T19:00:00.120000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003865356
2024-10-05T20:00:00.121000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003144373
2024-10-05T21:00:00.017000+00:00 → rate: 0.00000356, annualized: 3.1207%, premium: -0.000471501
2024-10-05T22:00:00.095000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003401012
2024-10-05T23:00:00.009000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002880946
2024-10-06T00:00:00.057000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000327303
2024-10-06T01:00:00.081000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002835193
2024-10-06T02:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003325627
2024-10-06T03:00:00.037000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003013791
2024-10-06T04:00:00.127000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003305897
2024-10-06T05:00:00.148000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003971917
2024-10-06T06:00:00.035000+00:00 → rate: -0.00000464, annualized: -4.0674%, premium: -0.0005371456
2024-10-06T07:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003408405
2024-10-06T08:00:00.019000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003048894
2024-10-06T09:00:00.035000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002646309
2024-10-06T10:00:00.052000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003005505
2024-10-06T11:00:00.078000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003536826
2024-10-06T12:00:00.025000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003872553
2024-10-06T13:00:00.064000+00:00 → rate: 0.00000595, annualized: 5.2104%, premium: -0.0004524172
2024-10-06T14:00:00.017000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003412557
2024-10-06T15:00:00.026000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000309269
2024-10-06T16:00:00.026000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001848347
2024-10-06T17:00:00.149000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001965811
2024-10-06T18:00:00.036000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002692921
2024-10-06T19:00:00.002000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003068989
2024-10-06T20:00:00.057000+00:00 → rate: -0.00001970, annualized: -17.2580%, premium: -0.0006576075
2024-10-06T21:00:00.054000+00:00 → rate: -0.00002473, annualized: -21.6661%, premium: -0.0006978641
2024-10-06T22:00:00.004000+00:00 → rate: -0.00002565, annualized: -22.4736%, premium: -0.0007052382
2024-10-06T23:00:00.003000+00:00 → rate: -0.00002639, annualized: -23.1200%, premium: -0.0007111413
2024-10-07T00:00:00.060000+00:00 → rate: -0.00001836, annualized: -16.0863%, premium: -0.0006469068
2024-10-07T01:00:00.047000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003538459
2024-10-07T02:00:00.022000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001051726
2024-10-07T03:00:00.074000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000941069
2024-10-07T04:00:00.093000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000866064
2024-10-07T05:00:00.068000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.00006928
2024-10-07T06:00:00.106000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001317081
2024-10-07T07:00:00.115000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003246903
2024-10-07T08:00:00.071000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003460609
2024-10-07T09:00:00.090000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003288269
2024-10-07T10:00:00.122000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000296161
2024-10-07T11:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003157048
2024-10-07T12:00:00.001000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003348318
2024-10-07T13:00:00.090000+00:00 → rate: 0.00000873, annualized: 7.6483%, premium: -0.0004301529
2024-10-07T14:00:00.001000+00:00 → rate: 0.00000283, annualized: 2.4771%, premium: -0.0004773785
2024-10-07T15:00:00.136000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003683806
2024-10-07T16:00:00.119000+00:00 → rate: 0.00000518, annualized: 4.5372%, premium: -0.0004585642
2024-10-07T17:00:00.046000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003454268
2024-10-07T18:00:00.069000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003879808
2024-10-07T19:00:00.130000+00:00 → rate: 0.00000936, annualized: 8.2015%, premium: -0.0004251006
2024-10-07T20:00:00.008000+00:00 → rate: 0.00000259, annualized: 2.2685%, premium: -0.0004792832
2024-10-07T21:00:00.025000+00:00 → rate: 0.00000419, annualized: 3.6687%, premium: -0.0004664963
2024-10-07T22:00:00.041000+00:00 → rate: -0.00000846, annualized: -7.4072%, premium: -0.0005676457
2024-10-07T23:00:00.011000+00:00 → rate: -0.00001355, annualized: -11.8715%, premium: -0.0006084151
2024-10-08T00:00:00.098000+00:00 → rate: 0.00000125, annualized: 1.0950%, premium: -0.0004899997
2024-10-08T01:00:00.009000+00:00 → rate: -0.00000943, annualized: -8.2588%, premium: -0.0005754234
2024-10-08T02:00:00.072000+00:00 → rate: -0.00000638, annualized: -5.5861%, premium: -0.0005510142
2024-10-08T03:00:00.026000+00:00 → rate: -0.00001626, annualized: -14.2455%, premium: -0.0006300958
2024-10-08T04:00:00.091000+00:00 → rate: -0.00000270, annualized: -2.3608%, premium: -0.0005215596
2024-10-08T05:00:00.019000+00:00 → rate: -0.00000680, annualized: -5.9540%, premium: -0.0005543747
2024-10-08T06:00:00.024000+00:00 → rate: -0.00002203, annualized: -19.3019%, premium: -0.0006762727
2024-10-08T07:00:00.078000+00:00 → rate: -0.00004679, annualized: -40.9897%, premium: -0.0008743353
2024-10-08T08:00:00.070000+00:00 → rate: -0.00004617, annualized: -40.4429%, premium: -0.0008693417
2024-10-08T09:00:00.152000+00:00 → rate: -0.00003250, annualized: -28.4693%, premium: -0.0007599936
2024-10-08T10:00:00.051000+00:00 → rate: -0.00001803, annualized: -15.7934%, premium: -0.0006442324
2024-10-08T11:00:00.101000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001195872
2024-10-08T12:00:00.098000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001635022
2024-10-08T13:00:00+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002191142
2024-10-08T14:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002317466
2024-10-08T15:00:00.004000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002401075
2024-10-08T16:00:00.159000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002849025
2024-10-08T17:00:00.145000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002746025
2024-10-08T18:00:00.145000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003360842
2024-10-08T19:00:00.012000+00:00 → rate: -0.00000214, annualized: -1.8754%, premium: -0.0005171271
2024-10-08T20:00:00.004000+00:00 → rate: -0.00003021, annualized: -26.4669%, premium: -0.0007417076
2024-10-08T21:00:00.087000+00:00 → rate: -0.00002138, annualized: -18.7311%, premium: -0.0006710597
2024-10-08T22:00:00.129000+00:00 → rate: 0.00000131, annualized: 1.1494%, premium: -0.0004895028
2024-10-08T23:00:00.050000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001542491
2024-10-09T00:00:00.048000+00:00 → rate: 0.00001141, annualized: 9.9968%, premium: -0.0004087048
2024-10-09T01:00:00.090000+00:00 → rate: -0.00001438, annualized: -12.6004%, premium: -0.000615072
2024-10-09T02:00:00.098000+00:00 → rate: 0.00000277, annualized: 2.4275%, premium: -0.0004778316
2024-10-09T03:00:00.015000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002208736
2024-10-09T04:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002230611
2024-10-09T05:00:00.051000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002666972
2024-10-09T06:00:00.024000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002065916
2024-10-09T07:00:00.132000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002127719
2024-10-09T08:00:00.154000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003869668
2024-10-09T09:00:00.099000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000366384
2024-10-09T10:00:00.030000+00:00 → rate: 0.00000662, annualized: 5.7951%, premium: -0.0004470768
2024-10-09T11:00:00.127000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000369834
2024-10-09T12:00:00.045000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002807946
2024-10-09T13:00:00.064000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003008385
2024-10-09T14:00:00.028000+00:00 → rate: 0.00001219, annualized: 10.6806%, premium: -0.0004024599
2024-10-09T15:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003779212
2024-10-09T16:00:00.077000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000243032
2024-10-09T17:00:00.011000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002552455
2024-10-09T18:00:00.129000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002930007
2024-10-09T19:00:00.052000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002713284
2024-10-09T20:00:00.035000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003622951
2024-10-09T21:00:00.021000+00:00 → rate: 0.00000680, annualized: 5.9544%, premium: -0.0004456213
2024-10-09T22:00:00.064000+00:00 → rate: -0.00000766, annualized: -6.7067%, premium: -0.0005612488
2024-10-09T23:00:00.065000+00:00 → rate: -0.00003028, annualized: -26.5230%, premium: -0.0007422195
2024-10-10T00:00:00.114000+00:00 → rate: -0.00003812, annualized: -33.3949%, premium: -0.0008049763
2024-10-10T01:00:00.089000+00:00 → rate: -0.00002819, annualized: -24.6902%, premium: -0.0007254816
2024-10-10T02:00:00.024000+00:00 → rate: -0.00000066, annualized: -0.5806%, premium: -0.0005053022
2024-10-10T03:00:00.010000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003575239
2024-10-10T04:00:00.144000+00:00 → rate: 0.00000980, annualized: 8.5823%, premium: -0.0004216231
2024-10-10T05:00:00.042000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003860983
2024-10-10T06:00:00.155000+00:00 → rate: -0.00000189, annualized: -1.6571%, premium: -0.000515134
2024-10-10T07:00:00.023000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003766023
2024-10-10T08:00:00.095000+00:00 → rate: 0.00001093, annualized: 9.5756%, premium: -0.0004125521
2024-10-10T09:00:00.045000+00:00 → rate: -0.00000542, annualized: -4.7438%, premium: -0.0005433224
2024-10-10T10:00:00.149000+00:00 → rate: -0.00000851, annualized: -7.4582%, premium: -0.0005681115
2024-10-10T11:00:00+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002463113
2024-10-10T12:00:00.100000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002765348
2024-10-10T13:00:00.095000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000347044
2024-10-10T14:00:00.109000+00:00 → rate: 0.00000716, annualized: 6.2729%, premium: -0.0004427135
2024-10-10T15:00:00.160000+00:00 → rate: 0.00000194, annualized: 1.7032%, premium: -0.0004844453
2024-10-10T16:00:00.001000+00:00 → rate: -0.00000238, annualized: -2.0867%, premium: -0.0005190567
2024-10-10T17:00:00.110000+00:00 → rate: -0.00002451, annualized: -21.4687%, premium: -0.0006960605
2024-10-10T18:00:00.120000+00:00 → rate: -0.00002885, annualized: -25.2765%, premium: -0.0007308352
2024-10-10T19:00:00.106000+00:00 → rate: -0.00001077, annualized: -9.4381%, premium: -0.0005861925
2024-10-10T20:00:00.023000+00:00 → rate: -0.00000353, annualized: -3.0885%, premium: -0.0005282052
2024-10-10T21:00:00.127000+00:00 → rate: -0.00001268, annualized: -11.1057%, premium: -0.0006014216
2024-10-10T22:00:00.035000+00:00 → rate: -0.00000769, annualized: -6.7402%, premium: -0.0005615543
2024-10-10T23:00:00.075000+00:00 → rate: -0.00001152, annualized: -10.0871%, premium: -0.0005921199
2024-10-11T00:00:00.157000+00:00 → rate: -0.00000868, annualized: -7.5993%, premium: -0.0005694003
2024-10-11T01:00:00.047000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003323258
2024-10-11T02:00:00.084000+00:00 → rate: 0.00001085, annualized: 9.5073%, premium: -0.0004131749
2024-10-11T03:00:00.146000+00:00 → rate: -0.00000736, annualized: -6.4507%, premium: -0.0005589102
2024-10-11T04:00:00.127000+00:00 → rate: 0.00000226, annualized: 1.9841%, premium: -0.0004818809
2024-10-11T05:00:00.119000+00:00 → rate: -0.00001202, annualized: -10.5279%, premium: -0.0005961448
2024-10-11T06:00:00.123000+00:00 → rate: 0.00000360, annualized: 3.1565%, premium: -0.0004711738
2024-10-11T07:00:00.097000+00:00 → rate: 0.00000795, annualized: 6.9650%, premium: -0.0004363927
2024-10-11T08:00:00.012000+00:00 → rate: 0.00000371, annualized: 3.2461%, premium: -0.000470355
2024-10-11T09:00:00.072000+00:00 → rate: -0.00000678, annualized: -5.9361%, premium: -0.0005542112
2024-10-11T10:00:00.062000+00:00 → rate: -0.00001115, annualized: -9.7676%, premium: -0.0005892015
2024-10-11T11:00:00.032000+00:00 → rate: -0.00000137, annualized: -1.1975%, premium: -0.0005109357
2024-10-11T12:00:00.063000+00:00 → rate: 0.00000295, annualized: 2.5803%, premium: -0.0004764355
2024-10-11T13:00:00.036000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002226245
2024-10-11T14:00:00.033000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002298975
2024-10-11T15:00:00.032000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003166393
2024-10-11T16:00:00.124000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003042421
2024-10-11T17:00:00.096000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003505338
2024-10-11T18:00:00.097000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003691478
2024-10-11T19:00:00.123000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002298314
2024-10-11T20:00:00.072000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003472739
2024-10-11T21:00:00.017000+00:00 → rate: 0.00001118, annualized: 9.7967%, premium: -0.000410532
2024-10-11T22:00:00.069000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003452154
2024-10-11T23:00:00.111000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003776597
2024-10-12T00:00:00.130000+00:00 → rate: 0.00000876, annualized: 7.6753%, premium: -0.0004299057
2024-10-12T01:00:00.048000+00:00 → rate: 0.00000285, annualized: 2.4998%, premium: -0.0004771703
2024-10-12T02:00:00.065000+00:00 → rate: 0.00000327, annualized: 2.8618%, premium: -0.0004738647
2024-10-12T03:00:00.013000+00:00 → rate: -0.00000321, annualized: -2.8099%, premium: -0.0005256616
2024-10-12T04:00:00.168000+00:00 → rate: -0.00000683, annualized: -5.9866%, premium: -0.0005546722
2024-10-12T05:00:00.023000+00:00 → rate: -0.00000488, annualized: -4.2754%, premium: -0.0005390445
2024-10-12T06:00:00.126000+00:00 → rate: -0.00000838, annualized: -7.3376%, premium: -0.0005670102
2024-10-12T07:00:00.039000+00:00 → rate: -0.00000681, annualized: -5.9656%, premium: -0.00055448
2024-10-12T08:00:00.082000+00:00 → rate: -0.00001210, annualized: -10.5999%, premium: -0.0005968025
2024-10-12T09:00:00.020000+00:00 → rate: -0.00001196, annualized: -10.4747%, premium: -0.0005956589
2024-10-12T10:00:00.004000+00:00 → rate: -0.00001519, annualized: -13.3025%, premium: -0.000621484
2024-10-12T11:00:00.016000+00:00 → rate: -0.00000755, annualized: -6.6138%, premium: -0.0005603998
2024-10-12T12:00:00.067000+00:00 → rate: 0.00000916, annualized: 8.0259%, premium: -0.0004267044
2024-10-12T13:00:00.133000+00:00 → rate: -0.00000482, annualized: -4.2250%, premium: -0.0005385846
2024-10-12T14:00:00.008000+00:00 → rate: 0.00000881, annualized: 7.7133%, premium: -0.0004295592
2024-10-12T15:00:00.030000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003027366
